"";"elokuva";"tukisumma";"tukityyppi";"lajityyppi";"hakija";"esittelija";"tukivuosi";"tukipvm"
"1954";"Kivenkovat";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Räntilä Kimmo";"Marjo Valve";2014;2014-05-06
"1955";"Hiljainen mies";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Sallinen Tuomas";"Marjo Valve";2014;2014-05-06
"1956";"Talviomenat";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tamminen Heli";"Marjo Valve";2014;2014-05-06
"1957";"Punainen kuin veri";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tyhtilä Veera";"Marjo Valve";2014;2014-05-06
"1958";"Kuka katsoo nyt peilistä(U-käännös)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Vuento Heikki";"Marjo Valve";2014;2014-05-06
"1959";"Systerleken";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Aminoff Sofia";"Hannu Tuomainen";2014;2014-02-20
"1960";"Hymy";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Blasim Hassan";"Hannu Tuomainen";2014;2014-02-20
"1961";"Vertiginous Heels";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Haapasalo Alli";"Hannu Tuomainen";2014;2014-02-20
"1962";"Muotokuvan vangit";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kohtamäki Kimmo";"Hannu Tuomainen";2014;2014-02-20
"1963";"Ensimmäiset 140 päivää";4500;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Onttonen Tuomas";"Hannu Tuomainen";2014;2014-02-20
"1964";"Kohlon Yö";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Pölönen Markku";"Hannu Tuomainen";2014;2014-02-20
"1965";"Kyttä (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Rantala Jari Olavi";"Hannu Tuomainen";2014;2014-02-20
"1966";"S.o.S. (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Riistakoski Lotta-Kaisa";"Hannu Tuomainen";2014;2014-02-20
"1967";"Honey Trap";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ryynänen Juhana";"Hannu Tuomainen";2014;2014-02-20
"1968";"Loikkaus (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Sarkisiants Arsen";"Hannu Tuomainen";2014;2014-02-20
"1969";"Virolainen";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Virtanen Vesa";"Hannu Tuomainen";2014;2014-02-20
"1970";"Deadrise";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Vuorensola Timo";"Hannu Tuomainen";2014;2014-02-20
"1971";"Muistojeni Kahvila";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Baltzar Valto";"Marjo Valve";2014;2014-02-20
"1972";"Mustan auringon alla";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Escandari Amir";"Marjo Valve";2014;2014-02-20
"1973";"Oppitunti";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Forsten Petra";"Marjo Valve";2014;2014-02-20
"1974";"HETKEN TÄSSÄ";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Harno Tua";"Marjo Valve";2014;2014-02-20
"1975";"Surreal Heights - Henkeä salpaavat korkeudet";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Havia Katrin";"Marjo Valve";2014;2014-02-20
"1976";"Häiriötekijä";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Heikkilä Samu";"Marjo Valve";2014;2014-02-20
"1977";"Vahinko";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kallio Katja";"Marjo Valve";2014;2014-02-20
"1978";"My Best Summer Job Ever";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Khadar Ahmed";"Marjo Valve";2014;2014-02-20
"1979";"Pitkä matka aamuun";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Laitinen Markus";"Marjo Valve";2014;2014-02-20
"1980";"Anna ja bonussisko";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Matila Hannamaija";"Marjo Valve";2014;2014-02-20
"1981";"Verta vuotavat silimät";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Mononen Maria Katariina";"Marjo Valve";2014;2014-02-20
"1982";"PALUU";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Perkiömäki Erkki";"Marjo Valve";2014;2014-02-20
"1983";"Hiljaisuuden torni";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ramezan Hamy";"Marjo Valve";2014;2014-02-20
"1984";"Armo";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ronkainen Mika";"Marjo Valve";2014;2014-02-20
"1985";"Meren valtakunta";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Sallinen Artur";"Marjo Valve";2014;2014-02-20
"1986";"MURTUMA";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Soini Miika";"Marjo Valve";2014;2014-02-20
"1987";"Layla";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"El Aboudi Mohamed";"Hannu Tuomainen";2013;2013-11-14
"1988";"Samoilla silmillä";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Franzén Peter";"Hannu Tuomainen";2013;2013-11-14
"1989";"Kuolema Ehtoolehdossa";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hardwick Neil";"Hannu Tuomainen";2013;2013-11-14
"1990";"KOHTALONOHJAAJA / FATE'S DIRECTOR";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Karra Petri";"Hannu Tuomainen";2013;2013-11-14
"1991";"Maailman paras kokki";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kylmä Tarja";"Hannu Tuomainen";2013;2013-11-14
"1992";"NOKIA - made in Finland";5600;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lalli Maarit";"Hannu Tuomainen";2013;2013-11-14
"1993";"Ystävyys";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lehti Timo";"Hannu Tuomainen";2013;2013-11-14
"1994";"Näkemiin Neuvostoliitto";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Randla Lauri";"Hannu Tuomainen";2013;2013-11-14
"1995";"Pyromaani (työnimi)";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Viitala Marjo";"Hannu Tuomainen";2013;2013-11-14
"1996";"UTOPIA";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Bergman Karl Simon";"Marjo Valve";2013;2013-11-14
"1997";"Sopimus";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Forsström Jan";"Marjo Valve";2013;2013-11-14
"1998";"Rebekan kiusaus";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Halinen Simo";"Marjo Valve";2013;2013-11-14
"1999";"Revolution - Life and times of Danny Paprika";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Koivumäki Juhani";"Marjo Valve";2013;2013-11-14
"2000";"Jumalan kivet";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Pelkonen Milla";"Marjo Valve";2013;2013-11-14
"2001";"Armo";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ronkainen Mika";"Marjo Valve";2013;2013-11-14
"2002";"Apaja";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Rosma Juha";"Marjo Valve";2013;2013-11-14
"2003";"Vihreä valhe";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Rönkkö Markku";"Marjo Valve";2013;2013-11-14
"2004";"SALI 6.";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Soinio Olli";"Marjo Valve";2013;2013-11-14
"2005";"Varkaus (Death is Sad Tonight)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Soskolne Iddo";"Marjo Valve";2013;2013-11-14
"2006";"Jokaisella on syynsä";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Uotila Pekka";"Marjo Valve";2013;2013-11-14
"2007";"Telttaretki";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Virtanen Vesa";"Marjo Valve";2013;2013-11-14
"2008";"U-käännös";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Vuento Heikki";"Marjo Valve";2013;2013-11-14
"2009";"Hölmö nuori sydän";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Saari Kirsikka";"Marjo Valve";2013;2013-09-04
"2010";"Liinahamari";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kaila Tuomas";"Hannu Tuomainen";2013;2013-09-03
"2011";"Muita hyviä ominaisuuksia";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kinnunen Matti";"Hannu Tuomainen";2013;2013-09-03
"2012";"El Mundo";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Passi J-P";"Hannu Tuomainen";2013;2013-09-03
"2013";"Impaled Rektum";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Puranen Aleksi";"Hannu Tuomainen";2013;2013-09-03
"2014";"Parempi ihminen";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Toivoniemi Jenni";"Hannu Tuomainen";2013;2013-09-03
"2015";"Oppitunti (The Lesson)";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Forsten Petra";"Marjo Valve";2013;2013-09-03
"2016";"Rebekan kiusaus";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Halinen Simo";"Marjo Valve";2013;2013-09-03
"2017";"HETKEN TÄSSÄ";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Harno Tua";"Marjo Valve";2013;2013-09-03
"2018";"Kuranen koira";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hänninen Veli-Pekka";"Marjo Valve";2013;2013-09-03
"2019";"Melusaasteen lyhyt ja onnellinen elämä";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ilkare Ilkka";"Marjo Valve";2013;2013-09-03
"2020";"Other Girls";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Illi Esa";"Marjo Valve";2013;2013-09-03
"2021";"BUCHAREST-INTER 965";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kuparinen Mikko";"Marjo Valve";2013;2013-09-03
"2022";"Saunatonttu Auterinen";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Mäkiaho Aki";"Marjo Valve";2013;2013-09-03
"2023";"Old Boys Blues";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Nassir Mazdak";"Marjo Valve";2013;2013-09-03
"2024";"Kummitus";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Parviainen Tuomas";"Marjo Valve";2013;2013-09-03
"2025";"Theon Talo";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Rinnekangas Rax (Reijo Olavi)";"Marjo Valve";2013;2013-09-03
"2026";"Prayer";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tamminen Heli";"Marjo Valve";2013;2013-09-03
"2027";"Punainen kuin veri (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tyhtilä Veera";"Marjo Valve";2013;2013-09-03
"2028";"TEEBUSSI";6400;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Koskimies Elias";"Jukka Asikainen";2013;2013-06-10
"2029";"Hymy";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Blasim Hassan";"Hannu Tuomainen";2013;2013-05-14
"2030";"Nuotin vierestä";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hartikainen Johanna";"Hannu Tuomainen";2013;2013-05-14
"2031";"Kristallipoika";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Mäkelä Taru";"Hannu Tuomainen";2013;2013-05-14
"2032";"Masennuskomedia";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Saari Kirsikka";"Hannu Tuomainen";2013;2013-05-14
"2033";"The White point";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Virtanen Vesa";"Hannu Tuomainen";2013;2013-05-14
"2034";"Kiitos Muistamisesta";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hakulinen Daniela";"Marjo Valve";2013;2013-05-14
"2035";"Kaiken se kestää";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hänninen Veli-Pekka";"Marjo Valve";2013;2013-05-14
"2036";"EI-KUORI";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ijäs Jan";"Marjo Valve";2013;2013-05-14
"2037";"Panoramic";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kerimaa Ville-Veikko";"Marjo Valve";2013;2013-05-14
"2038";"Letters from Finland";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Khadar Ahmed";"Marjo Valve";2013;2013-05-14
"2039";"Sankari";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lehtosaari Pekka";"Marjo Valve";2013;2013-05-14
"2040";"Nyrkkeilijä (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Myllylahti Mikko";"Marjo Valve";2013;2013-05-14
"2041";"Unelmien Mies";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Royle Kati";"Marjo Valve";2013;2013-05-14
"2042";"Talviomenat";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tamminen Heli";"Marjo Valve";2013;2013-05-14
"2043";"Miehet Marsista";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Valkonen Olli";"Marjo Valve";2013;2013-05-14
"2044";"Henkesi edestä";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hartikainen Johanna";"Hannu Tuomainen";2013;2013-04-11
"2045";"Syrjäkylän Sheriffit";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hiltunen Jussi";"Hannu Tuomainen";2013;2013-04-11
"2046";"Muita hyviä ominaisuuksia";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kinnunen Matti";"Hannu Tuomainen";2013;2013-04-11
"2047";"Mielensäpahoittaja ja miniä";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kyrö Tuomas";"Hannu Tuomainen";2013;2013-04-11
"2048";"Näkemiin Neuvostoliitto";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Randla Lauri";"Hannu Tuomainen";2013;2013-04-11
"2049";"Avioliittoleiri";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Dome Karukoski";"Marjo Valve";2013;2013-04-11
"2050";"Syysprinssi";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Haapasalo Alli";"Marjo Valve";2013;2013-04-11
"2051";"Kriminaali";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Jokinen Antti";"Marjo Valve";2013;2013-04-11
"2052";"BUCHAREST-INTER 965";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kuparinen Mikko";"Marjo Valve";2013;2013-04-11
"2053";"Domino";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lindfors Kauko";"Marjo Valve";2013;2013-04-11
"2054";"Koordinaattori";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Mustanoja Juha Tapio";"Marjo Valve";2013;2013-04-11
"2055";"Viimeinen";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ounpuu Veiko";"Marjo Valve";2013;2013-04-11
"2056";"Oman onnensa sepät";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Pohjola Mike";"Marjo Valve";2013;2013-04-11
"2057";"Sieluton";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Putro Eeva";"Marjo Valve";2013;2013-04-11
"2058";"Noottikriisi";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Räntilä Kimmo";"Marjo Valve";2013;2013-04-11
"2059";"Housekeeping";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tuuri Jarkko";"Marjo Valve";2013;2013-04-11
"2060";"Trois carrés rouges sur fond noir (Framed)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Idström Tove";"Hannu Tuomainen";2013;2013-02-28
"2061";"Muotokuvan vangit";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kohtamäki Kimmo";"Hannu Tuomainen";2013;2013-02-28
"2062";"Vieras vuoteessani";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Maikkula Merja (Melli)";"Hannu Tuomainen";2013;2013-02-28
"2063";"Kaivos";10000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Pesonen Pekko";"Hannu Tuomainen";2013;2013-02-28
"2064";"Impaled Rektum";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Puranen Aleksi";"Hannu Tuomainen";2013;2013-02-28
"2065";"Luminainen";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Salonen Hannu";"Hannu Tuomainen";2013;2013-02-28
"2066";"Rauhanturvaajat";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Siitonen Juha";"Hannu Tuomainen";2013;2013-02-28
"2067";"Pyromaani (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Viitala Marjo";"Hannu Tuomainen";2013;2013-02-28
"2068";"Silta yli synkän virran (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Vuorinen Hanna";"Hannu Tuomainen";2013;2013-02-28
"2069";"Tähdet, tähdet";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Bergroth Zaida";"Marjo Valve";2013;2013-02-28
"2070";"Sukupuutto";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Feodoroff Päivi Pauliina";"Marjo Valve";2013;2013-02-28
"2071";"The Girl Who Did Not Star in Her Own Life";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Koski Jenni";"Marjo Valve";2013;2013-02-28
"2072";"Suunnaton rakkaus";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Mäkiaho Aki";"Marjo Valve";2013;2013-02-28
"2073";"Viiskulma";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Paljakka Kari";"Marjo Valve";2013;2013-02-28
"2074";"Jumalan kivet";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Pelkonen Milla";"Marjo Valve";2013;2013-02-28
"2075";"Meren valtakunta";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Sallinen Artur";"Marjo Valve";2013;2013-02-28
"2076";"Silmäterä";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Virtanen Jarkko Olavi";"Marjo Valve";2013;2013-02-28
"2077";"LYKANTROPIA";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tommila Jorma";"Jukka Asikainen";2013;2013-01-28
"2078";"APINAENKELI";6400;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Laaksonen Sussu";"Jukka Asikainen";2012;2012-12-28
"2079";"Ichi";6400;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Juurikkala Kaija";"Jukka Asikainen";2012;2012-12-10
"2080";"KOTIROUVA";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Aalto Reetta";"Jukka Asikainen";2012;2012-11-30
"2081";"Sopimus (työnimi)";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Forsström Jan";"Jukka Asikainen";2012;2012-11-30
"2082";"Sinisten silmien takana";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Halinen Simo";"Jukka Asikainen";2012;2012-11-30
"2083";"Mustalaistango";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lappalainen Maria";"Jukka Asikainen";2012;2012-11-30
"2084";"Nineteen";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Reini Antti";"Jukka Asikainen";2012;2012-11-30
"2085";"The White point";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Virtanen Vesa";"Jukka Asikainen";2012;2012-11-30
"2086";"Luopio";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Väisänen Jyrki";"Jukka Asikainen";2012;2012-11-30
"2087";"Sikatyttö";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ahti Ilona";"Kaisu Isto";2012;2012-11-30
"2088";"Henkesi edestä";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Hartikainen Johanna";"Kaisu Isto";2012;2012-11-30
"2089";"Vävypoika";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kaján Jaakko";"Kaisu Isto";2012;2012-11-30
"2090";"Naura tai kuole";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kujanpää Heikki";"Kaisu Isto";2012;2012-11-30
"2091";"Salametsästäjä";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lehti Timo";"Kaisu Isto";2012;2012-11-30
"2092";"Suomi konepistooli";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Nissinen Jari";"Kaisu Isto";2012;2012-11-30
"2093";"The Talented One";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ylinen Tapio";"Kaisu Isto";2012;2012-11-30
"2094";"Jarkko ja Laura";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ylönen Mia";"Kaisu Isto";2012;2012-11-30
"2095";"RUNOILIJAN KUOLEMA";8000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Saari Mauno";"Jukka Asikainen";2012;2012-11-19
"2096";"THE UNGRATEFUL DEAD";2400;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Roberts Mark";"Kaisu Isto";2012;2012-11-12
"2097";"Revolution - Life and times of Danny Paprika";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Koivumäki Juhani";"Jukka Asikainen";2012;2012-10-30
"2098";"Sankari";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lehtosaari Pekka";"Jukka Asikainen";2012;2012-10-30
"2099";"Otepää (työnimi)";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Marjamaa Veera";"Jukka Asikainen";2012;2012-10-30
"2100";"Pyromaani (työnimi)";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Viitala Marjo";"Jukka Asikainen";2012;2012-10-30
"2101";"Kaikki rakkauden värit";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Pelo Riikka";"Kaisu Isto";2012;2012-10-30
"2102";"Meidän maailma";2000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Tola Pamela";"Kaisu Isto";2012;2012-10-30
"2103";"Haavoitettu leijona(työnimi)";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Yläkangas Jani-Petteri";"Kaisu Isto";2012;2012-10-30
"2104";"YSTÄVIEN KESKEN";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Westerberg Paavo";"Kaisu Isto";2012;2012-10-08
"2105";"Kummeli Viimestä päivää";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kahilainen Timo";"Jukka Asikainen";2012;2012-10-08
"2106";"Limbo zone";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ahava Selja";"Jukka Asikainen";2012;2012-10-08
"2107";"Honey trap";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Ryynänen Juhana";"Jukka Asikainen";2012;2012-10-08
"2108";"Yrittäjä";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kaskinen Teemu";"Jukka Asikainen";2012;2012-10-08
"2109";"A Pilgrimage";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Räntilä Kimmo";"Jukka Asikainen";2012;2012-10-08
"2110";"Love is in the Air";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lahti Miia";"Jukka Asikainen";2012;2012-10-08
"2111";"Sinun on pakko";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Khadar Ahmed";"Jukka Asikainen";2012;2012-10-08
"2112";"Kätilö";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Jokinen Antti";"Kaisu Isto";2012;2012-10-08
"2113";"Kotiinpaluu";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Karra Petri";"Kaisu Isto";2012;2012-10-08
"2114";"A Cat's Life";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Malka Mahsa";"Kaisu Isto";2012;2012-10-08
"2115";"Päin seinää";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Pesonen Antti Heikki";"Kaisu Isto";2012;2012-10-08
"2116";"S.o.S. (työnimi)";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Riistakoski Lotta-Kaisa";"Kaisu Isto";2012;2012-10-08
"2117";"Sodassa (työnimi)";6000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Sillantaus Teppo";"Kaisu Isto";2012;2012-10-08
"2118";"Dagmamman";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Härö Klaus";"Jukka Asikainen";2012;2012-09-04
"2119";"Sesonki";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kamula Toni";"Jukka Asikainen";2012;2012-09-04
"2120";"Lalli";3000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Koistinen Juha";"Jukka Asikainen";2012;2012-09-04
"2121";"ITÄ";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kähönen Jyri";"Jukka Asikainen";2012;2012-09-04
"2122";"TSAMO";8000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lehmuskallio Markku";"Jukka Asikainen";2012;2012-09-04
"2123";"Osynlig/Näkymätön";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lindström Jon";"Jukka Asikainen";2012;2012-09-04
"2124";"Jokaisella on syynsä";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Uotila Pekka";"Jukka Asikainen";2012;2012-09-04
"2125";"Suomen kohtalonhetket";5000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Kassila Matti";"Kaisu Isto";2012;2012-09-04
"2126";"Päätepysäkki";4000;"Käsikirjoitusapuraha";"Pitkä näytelmäelokuva";"Lappalainen Maria";"Kaisu Isto";2012;2012-09-04
