"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"100";"Kovasikajuttu";20055;"2012";"The Walt Disney Company Nordic";2012-05-04;"Kovasikajuttu";"SUOMI"
"101";"Iron Sky";181359;"2012";"The Walt Disney Company Nordic";2012-04-06;"Iron Sky";"SUOMI"
"102";"Rouva Presidentti";22599;"2012";"Scanbox Finland Oy";2012-03-30;"Rouva Presidentti";"SUOMI"
"103";"Saunavieras";132;"2012";"Pirkanmaan Elokuvakeskus";2012-03-23;"Saunavieras";"SUOMI"
"104";"Taistelu Näsilinnasta";15083;"2012";"FS Film Oy";2012-03-23;"Taistelu Näsilinnasta";"SUOMI"
"105";"Vares - Uhkapelimerkki";54172;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-16;"Vares - Uhkapelimerkki";"SUOMI"
"106";"Kohta 18";37271;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-09;"Kohta 18";"SUOMI"
"107";"Tähtitaivas talon yllä";18159;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-02;"Tähtitaivas talon yllä";"SUOMI"
"108";"Kulman pojat";56629;"2012";"Nordisk Film Theatrical Distribution Oy";2012-02-24;"Kulman pojat";"SUOMI"
"109";"Härmä";146455;"2012";"Finnkino Oy";2012-02-17;"Härmä";"SUOMI"
"110";"Risto Räppääjä ja Viileä Venla";309939;"2012";"Nordisk Film Theatrical Distribution Oy";2012-02-10;"Risto Räppääjä ja Viileä Venla";"SUOMI"
"111";"Vuosaari";95867;"2012";"The Walt Disney Company Nordic";2012-02-03;"Vuosaari";"SUOMI"
"112";"Hulluna Saraan";31263;"2012";"Nordisk Film Theatrical Distribution Oy";2012-01-27;"Hulluna Saraan";"SUOMI"
"113";"Säilöttyjä unelmia";5945;"2012";"FS Film Oy";2012-01-27;"Säilöttyjä unelmia";"SUOMI"
"114";"Rat King";6878;"2012";"Future Film";2012-01-20;"Rat King";"SUOMI"
"115";"Punaisen metsän hotelli";1385;"2012";"Pirkanmaan Elokuvakeskus";2012-01-13;"Punaisen metsän hotelli";"SUOMI"
"116";"Vares - Kaidan tien kulkijat";95166;"2012";"Nordisk Film Theatrical Distribution Oy";2012-01-06;"Vares - Kaidan tien kulkijat";"SUOMI"
"117";"Varasto";199533;"2011";"Nordisk Film Theatrical Distribution Oy";2011-12-30;"Varasto";"SUOMI"
"118";"Herra Heinämäki ja Leijonatuuliviiri";45491;"2011";"The Walt Disney Company Nordic";2011-12-23;"Herra Heinämäki ja Leijonatuuliviiri";"SUOMI"
"119";"Avain Italiaan";10665;"2011";"Nordisk Film Theatrical Distribution Oy";2011-12-16;"Avain Italiaan";"SUOMI-USA-ITALIA"
"120";"Hiljaisuus";32552;"2011";"The Walt Disney Company Nordic";2011-12-09;"Hiljaisuus";"SUOMI"
"121";"Risto";14307;"2011";"Scanbox Finland Oy";2011-11-25;"Risto";"SUOMI"
"122";"Maaginen kristalli";16865;"2011";"Future Film";2011-11-18;"Maaginen kristalli";"SUOMI-BELGIA"
"123";"Hiljaa toivotut";1062;"2011";"SUOMEN Elokuvakontakti R";2011-11-11;"Hiljaa toivotut";"SUOMI"
"124";"Ikuisesti sinun";4977;"2011";"Pirkanmaan Elokuvakeskus";2011-11-11;"Ikuisesti sinun";"SUOMI"
"125";"Där vi en gång gått";46219;"2011";"Scanbox Finland Oy";2011-10-28;"Där vi en gång gått";"SUOMI"
"126";"Kotirauha";38226;"2011";"Nordisk Film Theatrical Distribution Oy";2011-10-21;"Kotirauha";"SUOMI"
"127";"Syvälle salattu";32039;"2011";"Nordisk Film Theatrical Distribution Oy";2011-10-07;"Syvälle salattu";"SUOMI"
"128";"Matka Edeniin";1067;"2011";"Pirkanmaan Elokuvakeskus";2011-09-30;"Matka Edeniin";"SUOMI"
"129";"Likainen Pommi";7302;"2011";"FS Film Oy";2011-09-23;"Likainen Pommi";"SUOMI"
"130";"Ella & Aleksi - Yllätyssynttärit";9481;"2011";"Nordisk Film Theatrical Distribution Oy";2011-09-16;"Ella & Aleksi - Yllätyssynttärit";"SUOMI"
