"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"159";"Presidentintekijät";10692;"2014";"FS Film Oy";2014-03-14;"Presidentintekijät";"SUOMI"
"160";"Saving Mr. Banks";6683;"2014";"The Walt Disney Company Nordic";2014-03-14;"Saving Mr. Banks";"USA-UK-AUSTRALIA"
"161";"American Hustle";52957;"2014";"Future Film";2014-03-07;"American Hustle";"USA"
"162";"Eedenistä pohjoiseen";14872;"2014";"Isla Sales";2014-03-07;"Eedenistä pohjoiseen";"SUOMI"
"163";"Herra Peabody & Sherman";59131;"2014";"FS Film Oy";2014-03-07;"Mr. Peabody & Sherman";"USA"
"164";"300: Imperiumin nousu";29107;"2014";"FS Film Oy";2014-03-07;"300: Rise of an Empire";"USA"
"165";"Inside Llewyn Davis";7150;"2014";"Future Film";2014-02-28;"Inside Llewyn Davis";"USA-ENGLANTI-RANSKA"
"166";"Korso";10789;"2014";"B-Plan Distribution";2014-02-28;"Korso";"SUOMI"
"167";"Nebraska";3032;"2014";"The Walt Disney Company Nordic";2014-02-28;"Nebraska";"USA"
"168";"Perhe - August: Osage County";22364;"2014";"Finnkino Oy";2014-02-28;"August: Osage County";"USA"
"169";"Helinä Keiju ja Merirosvokeiju";49766;"2014";"The Walt Disney Company Nordic";2014-02-21;"Tinker Bell: The Pirate Fairy";"USA"
"170";"Isabelle: nuori & kaunis";2673;"2014";"Cinema Mondo Oy";2014-02-21;"Jeune & jolie";"RANSKA"
"171";"Sinkkuna suhteessa";21176;"2014";"Nordisk Film Theatrical Distribution Oy";2014-02-21;"That Awkward Moment";"USA"
"172";"Talvinen tarina";6655;"2014";"FS Film Oy";2014-02-21;"Winter's tale";"USA"
"173";"Kummeli V";178345;"2014";"Nordisk Film Theatrical Distribution Oy";2014-02-19;"Kummeli V";"SUOMI"
"174";"Isac Elliot - Dream Big The Movie";5982;"2014";"Isla Sales";2014-02-14;"Isac Elliot - Dream Big The Movie";"SUOMI"
"175";"Lego elokuva";138628;"2014";"FS Film Oy";2014-02-14;"The Lego Movie";"USA"
"176";"Lone Survivor";10311;"2014";"Future Film";2014-02-14;"Lone Survivor";"USA"
"177";"Mandela: Pitkä tie vapauteen";8741;"2014";"Finnkino Oy";2014-02-14;"Mandela: Long Walk to Freedom";"ENGLANTI-ETELÄ-AFRIKKA"
"178";"Robocop";22282;"2014";"FS Film Oy";2014-02-14;"Robocop";"USA"
"179";"Her";17362;"2014";"The Walt Disney Company Nordic";2014-02-07;"Her";"USA"
"180";"Nymphomaniac vol. 2";6188;"2014";"Nordisk Film Theatrical Distribution Oy";2014-02-07;"Nymphomaniac vol. 2";"TANSKA"
"181";"Nymphomaniac volume 1";7584;"2014";"Nordisk Film Theatrical Distribution Oy";2014-02-07;"Nymphomaniac volume 1";"TANSKA"
"182";"Risto Räppääjä ja Liukas Lennart";265615;"2014";"The Walt Disney Company Nordic";2014-02-07;"Risto Räppääjä ja Liukas Lennart";"SUOMI"
"183";"Mies joka antoi";28250;"2014";"Nordisk Film Theatrical Distribution Oy";2014-01-31;"Delivery Man";"USA"
"184";"One chance";0;"2014";"FS Film Oy";2014-01-31;"One chance";"ENGLANTI"
"185";"Philomena";55500;"2014";"Scanbox Finland Oy";2014-01-31;"Philomena";"ENGLANTI-USA"
"186";"The Dallas Buyers Club";29703;"2014";"Future Film";2014-01-31;"The Dallas Buyers Club";"USA"
"187";"Anselmi Nuori ihmissusi";4931;"2014";"Black Lion Independent";2014-01-24;"Anselmi Nuori ihmissusi";"SUOMI"
"188";"Jack Ryan: Shadow Recruit";17744;"2014";"Finnkino Oy";2014-01-24;"Jack Ryan: Shadow Recruit";"USA"
"189";"Rautakaupunki";1708;"2014";"Future Film";2014-01-24;"Out of the Furnace";"USA"
"190";"12 years a slave";103367;"2014";"FS Film Oy";2014-01-24;"12 years a slave";"USA"
"191";"Homefront";7016;"2014";"Future Film";2014-01-17;"Homefront";"USA"
"192";"Onneli ja Anneli";177161;"2014";"Nordisk Film Theatrical Distribution Oy";2014-01-17;"Onneli ja Anneli";"SUOMI"
"193";"Vangitut";9113;"2014";"Nordisk Film Theatrical Distribution Oy";2014-01-17;"Prisoners";"USA"
"194";"Ei Kiitos";127181;"2014";"FS Film Oy";2014-01-10;"Ei Kiitos";"SUOMI"
"195";"Oldboy";3004;"2014";"Future Film";2014-01-10;"Oldboy";"USA"
"196";"Paranormal Activity: Merkityt";19133;"2014";"Finnkino Oy";2014-01-10;"Paranormal Activity: The Marked Ones";"USA"
"197";"Justin Bieber's Believe";17066;"2014";"Nordisk Film Theatrical Distribution Oy";2014-01-03;"Justin Bieber's Believe";"USA"
"198";"Legendat kehässä";7854;"2014";"FS Film Oy";2014-01-03;"Grudge match";"USA"
"199";"Sademetsän tarina";7640;"2014";"Cinema Mondo Oy";2014-01-03;"Il était une forêt";"RANSKA"
"200";"The Wolf of Wall Street";124216;"2014";"Finnkino Oy";2014-01-03;"The Wolf of Wall Street";"USA"
"201";"Ainoat oikeat";113284;"2013";"Nordisk Film Theatrical Distribution Oy";2013-12-27;"Ainoat oikeat";"SUOMI"
"202";"Alan Partridge: Kukkona tunkiolla";2266;"2013";"Future Film";2013-12-27;"Alan Partridge: Alpha Papa";"ENGLANTI"
"203";"Ella ja kaverit 2 - Paterock";91983;"2013";"Snapper Films Distribution";2013-12-27;"Ella ja kaverit 2 - Paterock";"SUOMI"
"204";"Satavuotias, joka karkasi ikkunasta ja katosi";99323;"2013";"The Walt Disney Company Nordic";2013-12-27;"Hundraåringen som klev ut genom fönstret och ..";"RUOTSI"
"205";"Vaahteramäen Eemeli ja Iida";33360;"2013";"FS Film Oy";2013-12-27;"Emil och Ida i Lönneberga";"RUOTSI"
"206";"Walter Mittyn ihmeellinen elämä";59250;"2013";"FS Film Oy";2013-12-27;"The Secret Life of Walter Mitty";"USA"
"207";"A Late Quartet";15410;"2013";"FS Film Oy";2013-12-20;"A Late Quartet";"USA"
"208";"Frozen - huurteinen seikkailu";192092;"2013";"The Walt Disney Company Nordic";2013-12-20;"Frozen";"USA"
"209";"Lasse autolomalla";2514;"2013";"Bio Rex Cinemas";2013-12-20;"Sune på bilsemester";"RUOTSI"
"210";"Tunnottomat";4685;"2013";"Cinema Mondo Oy";2013-12-20;"Insensibles";"ESPANJA-RANSKA"
"211";"Walking with Dinosaurs";24375;"2013";"FS Film Oy";2013-12-20;"Walking with Dinosaurs";"USA"
"212";"Adelen elämä: osat 1 ja 2";11270;"2013";"Cinema Mondo Oy";2013-12-13;"La vie d'Adèle - Chapitres 1 et 2";"RANSKA"
"213";"Hobitti - Smaugin autioittama maa";447944;"2013";"FS Film Oy";2013-12-11;"The Hobbit: Desolation of Smaug";"USA"
"214";"Monica Z";5898;"2013";"FS Film Oy";2013-12-08;"Monica Z";"RUOTSI"
"215";"Ajomies (65min)";393;"2013";"Pirkanmaan Elokuvakeskus";2013-12-06;"Ajomies (65min)";"SUOMI"
"216";"Ender's Game";8966;"2013";"The Walt Disney Company Nordic";2013-12-06;"Ender's Game";"USA"
"217";"Me ollaan parhaita";7162;"2013";"FS Film Oy";2013-12-06;"Vi är bäst";"RUOTSI"
"218";"Isänmaallinen mies";34044;"2013";"Future Film";2013-12-04;"Isänmaallinen mies";"SUOMI"
"219";"Mafiaperhe";7567;"2013";"Scanbox Finland Oy";2013-11-29;"Malavita - The Family";"USA-RANSKA"
"220";"Menneisyys";21103;"2013";"Cinema Mondo Oy";2013-11-29;"Le passé";"RANSKA-IRAN"
"221";"Poutapilviä ja lihapullakuuroja 2";38696;"2013";"The Walt Disney Company Nordic";2013-11-29;"Cloudy with a chance of meatballs 2";"USA"
"222";"Viimeinen rakkaus";7132;"2013";"FS Film Oy";2013-11-29;"Mr.Morgan's last love";"SAKSA"
"223";"LasseMajas detektivbyrå - Von Broms hemlighet";1356;"2013";"FS Film Oy";2013-11-22;"LasseMajas detektivbyrå - Von Broms hemlighet";"RUOTSI-SUOMI"
"224";"Last Vegas";24087;"2013";"Finnkino Oy";2013-11-22;"Last Vegas";"USA"
"225";"Nuoren Wertherin jäljillä";648;"2013";"FS Film Oy";2013-11-22;"Nuoren Wertherin jäljillä";"SUOMI"
"226";"Red Obsession";1727;"2013";"Cinema Mondo Oy";2013-11-22;"Red Obsession";"AUSTRALIA"
"227";"Nälkäpeli: vihan liekit";231905;"2013";"Nordisk Film Theatrical Distribution Oy";2013-11-20;"The Hunger Games: Catching Fire";"USA"
"228";"Salpa";2415;"2013";"Black Lion Independent";2013-11-20;"Salpa";"SUOMI"
"229";"Escape Plan";44627;"2013";"Nordisk Film Theatrical Distribution Oy";2013-11-15;"Escape Plan";"USA"
"230";"Filth";3936;"2013";"Future Film";2013-11-15;"Filth";"ENGLANTI"
"231";"Kalevala - Uusi aika";5045;"2013";"Vl-Media";2013-11-15;"Kalevala - Uusi aika";"SUOMI"
"232";"Lotta ja kuukiven salaisuus";8144;"2013";"Isla Sales";2013-11-15;"Lotte ja kuukivi saladus";"VIRO-LATVIA"
"233";"The Counselor";18416;"2013";"FS Film Oy";2013-11-15;"The Counselor";"USA"
"234";"You're next";1478;"2013";"Scanbox Finland Oy";2013-11-15;"You're next";"USA"
"235";"Diana";26032;"2013";"FS Film Oy";2013-11-08;"Diana";"ENGLANTI"
"236";"Gravity";147584;"2013";"FS Film Oy";2013-11-08;"Gravity";"USA"
"237";"Luciferin viimeinen elämä";183;"2013";"Pirkanmaan Elokuvakeskus";2013-11-08;"Luciferin viimeinen elämä";"SUOMI"
"238";"The World's End";6803;"2013";"Finnkino Oy";2013-11-08;"The World's End";"ENGLANTI"
"239";"Betoniyö";10403;"2013";"Cinema Mondo Oy";2013-11-01;"Betoniyö";"SUOMI"
"240";"Carrie";10844;"2013";"FS Film Oy";2013-11-01;"Carrie";"USA"
"241";"Don Jon";20900;"2013";"Future Film";2013-11-01;"Don Jon";"USA"
"242";"Vili & Bill";6995;"2013";"Snapper Films Distribution";2013-11-01;"Boule & Bill";"RANSKA"
"243";"Thor: The Dark World";76091;"2013";"The Walt Disney Company Nordic";2013-10-30;"Thor: The Dark World";"USA"
"244";"Jackass Presents: Bad Grandpa";40468;"2013";"Finnkino Oy";2013-10-25;"Jackass Presents: Bad Grandpa";"USA"
"245";"Päivien kuohu";7563;"2013";"Cinema Mondo Oy";2013-10-25;"L’écume des jours";"RANSKA-BELGIA"
"246";"Syvyys";2421;"2013";"Future Film";2013-10-25;"Djupio";"ISLANTI"
"247";"The Butler";11393;"2013";"Scanbox Finland Oy";2013-10-25;"The Butler";"USA"
"248";"Viides valta";2563;"2013";"Nordisk Film Theatrical Distribution Oy";2013-10-25;"The Fifth Estate";"USA-BELGIA"
"249";"Captain Phillips";25850;"2013";"The Walt Disney Company Nordic";2013-10-18;"Captain Phillips";"USA"
"250";"Frances Ha";6023;"2013";"Atlantic Film Oy";2013-10-18;"Frances Ha";"USA"
"251";"Leijonasydän";199206;"2013";"Scanbox Finland Oy";2013-10-18;"Leijonasydän";"SUOMI"
"252";"Metallica: Through the Never";3540;"2013";"Future Film";2013-10-18;"Metallica: Through the Never";"USA"
"253";"Poski poskea vasten";1596;"2013";"Pirkanmaan Elokuvakeskus";2013-10-18;"Mittsommernachtstango";"SAKSA-SUOMI"
"254";"Turbo";71682;"2013";"FS Film Oy";2013-10-18;"Turbo";"USA"
"255";"Knucklebonehead";430;"2013";"Black Lion Independent";2013-10-11;"Knucklebonehead";"SUOMI"
"256";"Machete Kills";8991;"2013";"FS Film Oy";2013-10-11;"Machete Kills";"USA"
"257";"On My Way";5146;"2013";"Scanbox Finland Oy";2013-10-11;"Elle s'en va";"RANSKA"
"258";"Promised Land";3928;"2013";"Atlantic Film Oy";2013-10-11;"Promised Land";"USA"
"259";"Mieletön Elokuu";28592;"2013";"Nordisk Film Theatrical Distribution Oy";2013-10-04;"Mieletön Elokuu";"SUOMI"
"260";"Oli aikakin";19091;"2013";"Finnkino Oy";2013-10-04;"About Time";"ENGLANTI"
"261";"Pioneer sukellus meren syvyyksiin";759;"2013";"Bio Rex Cinemas";2013-10-04;"Pioneer";"NORJA-SUOMI"
"262";"Runner Runner";14853;"2013";"FS Film Oy";2013-10-04;"Runner Runner";"USA"
"263";"The Grandmaster";8093;"2013";"Cinema Mondo Oy";2013-10-04;"The Grandmaster";"HONGKONG-KIINA"
"264";"Lentsikat";158749;"2013";"The Walt Disney Company Nordic";2013-09-27;"Planes";"USA"
"265";"Mud";3767;"2013";"Scanbox Finland Oy";2013-09-27;"Mud";"USA"
"266";"Oppipoika";13833;"2013";"Långfilm Productions Finland";2013-09-27;"Lärjungen";"SUOMI"
"267";"Selänne";130530;"2013";"FS Film Oy";2013-09-27;"Selänne";"SUOMI"
"268";"2 Guns";22614;"2013";"The Walt Disney Company Nordic";2013-09-27;"2 Guns";"USA"
"269";"Jobs";16447;"2013";"FS Film Oy";2013-09-20;"Jobs";"USA"
"270";"Silmäterä";2879;"2013";"Atlantic Film Oy";2013-09-20;"Silmäterä";"SUOMI"
"271";"The Heat";21651;"2013";"FS Film Oy";2013-09-20;"The Heat";"USA"
"272";"Muisteja";4827;"2013";"Pirkanmaan Elokuvakeskus";2013-09-13;"Muisteja";"SUOMI"
"273";"Rahalla saa - Luksuselämää";2613;"2013";"Bio Rex Cinemas";2013-09-13;"Snabba cash - Livet deluxe";"RUOTSI"
"274";"Rush";29613;"2013";"Future Film";2013-09-13;"Rush";"USA"
"275";"Millerit";100237;"2013";"FS Film Oy";2013-09-06;"We’re the Millers";"USA"
"276";"Perfect Mothers";4123;"2013";"Atlantic Film Oy";2013-09-06;"Adore";"AUSTRALIA"
"277";"Riddick";17424;"2013";"Future Film";2013-09-06;"Riddick";"USA"
"278";"Smurffit 2";116429;"2013";"The Walt Disney Company Nordic";2013-09-06;"Smurfs 2";"USA"
"279";"Tumman veden päällä";87298;"2013";"Nordisk Film Theatrical Distribution Oy";2013-09-06;"Tumman veden päällä";"SUOMI"
"280";"Blue Jasmine";41033;"2013";"Scanbox Finland Oy";2013-08-30;"Blue Jasmine";"USA"
"281";"Blue Jasmine(poista)";0;"2013";"Finnkino Oy";2013-08-30;"Blue Jasmine(poista)";"USA"
"282";"One Direction:This is us";18678;"2013";"The Walt Disney Company Nordic";2013-08-30;"One Direction:This is us";"USA"
"283";"RED 2";20586;"2013";"Nordisk Film Theatrical Distribution Oy";2013-08-30;"RED 2";"USA"
"284";"Varjojen kaupungit: Luukaupunki";21261;"2013";"FS Film Oy";2013-08-30;"The Mortal Instruments: City of Bones";"USA"
"285";"Behind The Candelabra (My Life With Liberace)";15588;"2013";"FS Film Oy";2013-08-23;"Behind The Candelabra";"USA"
"286";"Kirottu";35506;"2013";"FS Film Oy";2013-08-23;"The Conjuring";"USA"
"287";"Pahaa verta";301;"2013";"Black Lion Independent";2013-08-23;"Pahaa verta";"SUOMI"
"288";"Paranoia";2237;"2013";"Future Film";2013-08-23;"Paranoia";"USA"
"289";"White House Down";23397;"2013";"The Walt Disney Company Nordic";2013-08-23;"White House Down";"USA"
"290";"Elysium";65023;"2013";"The Walt Disney Company Nordic";2013-08-16;"Elysium";"USA"
"291";"Kekkonen tulee!";35122;"2013";"Nordisk Film Theatrical Distribution Oy";2013-08-16;"Kekkonen tulee!";"SUOMI"
"292";"Kick Ass 2";18172;"2013";"Finnkino Oy";2013-08-16;"Kick Ass 2";"USA-ENGLANTI"
"293";"Percy Jackson: Hirviöidenmeri";18376;"2013";"FS Film Oy";2013-08-16;"Percy Jackson: Sea of Monsters";"USA"
"294";"The Way Way Back";4670;"2013";"Scanbox Finland Oy";2013-08-16;"The Way Way Back";"USA"
"295";"Pain & Gain";28212;"2013";"Finnkino Oy";2013-08-09;"Pain & Gain";"USA"
"296";"Renoir";11359;"2013";"Cinema Mondo Oy";2013-08-09;"Renoir";"RANSKA"
"297";"Monsters University";146164;"2013";"The Walt Disney Company Nordic";2013-08-02;"Monsters University";"USA"
"298";"Odd Thomas";1403;"2013";"Future Film";2013-08-02;"Odd Thomas";"USA"
"299";"Pacific Rim";35263;"2013";"FS Film Oy";2013-08-02;"Pacific Rim";"USA"
"300";"Rakkautta ennen keskiyötä";34066;"2013";"Cinema Mondo Oy";2013-08-02;"Before Midnight";"USA"
"301";"3096 päivää";4149;"2013";"Future Film";2013-08-02;"3096";"SAKSA"
"302";"Bekas";661;"2013";"FS Film Oy";2013-07-26;"Bekas";"RUOTSI-SUOMI"
"303";"Puhdistuksen yö";10025;"2013";"Finnkino Oy";2013-07-26;"The Purge";"USA"
"304";"What Maisie Knew";4608;"2013";"Scanbox Finland Oy";2013-07-26;"What Maisie Knew";"USA"
"305";"Wolverine";50386;"2013";"FS Film Oy";2013-07-26;"The Wolverine";"USA"
"306";"Matkarakastajat";22450;"2013";"Future Film";2013-07-19;"Los Amantes Pasajeros";"ESPANJA"
"307";"Suuri puhallus";108784;"2013";"Nordisk Film Theatrical Distribution Oy";2013-07-19;"Now You See Me";"USA-RANSKA"
"308";"World War Z";74340;"2013";"Finnkino Oy";2013-07-19;"World War Z";"USA"
"309";"The Internship";29956;"2013";"FS Film Oy";2013-07-12;"The Internship";"USA"
"310";"Itse ilkimys 2";258332;"2013";"Finnkino Oy";2013-07-05;"Despicable Me 2";"USA"
"311";"Jotain ilmassa";3356;"2013";"Cinema Mondo Oy";2013-07-05;"Aprés mai";"RANSKA"
"312";"The Lone Ranger";111806;"2013";"The Walt Disney Company Nordic";2013-07-03;"The Lone Ranger";"USA"
"313";"The Bling Ring";32266;"2013";"FS Film Oy";2013-06-28;"The Bling Ring";"USA"
"314";"American Vagabond";2052;"2013";"SUOMEN Elokuvakontakti R";2013-06-26;"American Vagabond";"SUOMI"
"315";"Man of Steel";67223;"2013";"FS Film Oy";2013-06-26;"Man of Steel";"USA"
"316";"After Earth";40591;"2013";"The Walt Disney Company Nordic";2013-06-14;"After Earth";"USA"
"317";"Mesenaatti";4854;"2013";"Pirkanmaan Elokuvakeskus";2013-06-14;"Mesenaatti";"SUOMI"
"318";"Trance";0;"2013";"Kinosto Oy";2013-06-14;"Trance";"ENGLANTI"
"319";"Only God Forgives";12545;"2013";"Scanbox Finland Oy";2013-06-07;"Only God Forgives";"TANSKA"
"320";"Yhdet häät ja kolme anoppia";23312;"2013";"Nordisk Film Theatrical Distribution Oy";2013-06-07;"The Big Wedding";"USA"
"321";"Star Trek Into Darkness";46405;"2013";"Finnkino Oy";2013-06-05;"Star Trek Into Darkness";"USA"
"322";"Kauhea kankkunen 3";121888;"2013";"FS Film Oy";2013-05-29;"The Hangover Part III";"USA"
"323";"Pystyssä";1035;"2013";"Black Lion Independent";2013-05-24;"Pystyssä";"SUOMI"
"324";"Salainen valtakunta";54991;"2013";"FS Film Oy";2013-05-24;"Epic";"USA"
"325";"Fast & Furious 6";130183;"2013";"Finnkino Oy";2013-05-22;"Fast & Furious 6";"USA"
"326";"Dark Skies";3171;"2013";"Scanbox Finland Oy";2013-05-17;"Dark Skies";"USA"
"327";"Spring Breakers";9701;"2013";"FS Film Oy";2013-05-17;"Spring Breakers";"USA"
"328";"The Great Gatsby";84853;"2013";"FS Film Oy";2013-05-17;"The Great Gatsby";"AUSTRALIA"
"329";"Mitä ikinä haluat";2750;"2013";"Cinema Mondo Oy";2013-05-10;"Toutes nos envies";"RANSKA"
"330";"Evil Dead";12438;"2013";"The Walt Disney Company Nordic";2013-05-03;"Evil Dead";"USA"
"331";"To the Wonder";6742;"2013";"Nordisk Film Theatrical Distribution Oy";2013-05-03;"To the Wonder";"USA"
"332";"Väärät paperit";24213;"2013";"Finnkino Oy";2013-05-03;"The Identity Thief";"USA"
"333";"Broken City";6055;"2013";"Future Film";2013-04-26;"Broken City";"USA"
"334";"Ei pelkkää hunajaa";4622;"2013";"Cinema Mondo Oy";2013-04-26;"More Than Honey";"SVEITSI-SAKSAN-ITÄVA"
"335";"Iron Man 3";141365;"2013";"The Walt Disney Company Nordic";2013-04-26;"Iron Man 3";"USA"
"336";"Lasse Kreikassa";10613;"2013";"Bio Rex Cinemas";2013-04-26;"Sune i Grekland - All Inclusive";"RUOTSI"
"337";"The Company You Keep";5803;"2013";"FS Film Oy";2013-04-26;"The Company You Keep";"KANADA"
"338";"Alaska Highway";4548;"2013";"FS Film Oy";2013-04-19;"Alaska Highway";"SUOMI"
"339";"Kon-Tiki";11204;"2013";"Atlantic Film Oy";2013-04-19;"Kon-Tiki";"NORJA"
"340";"Laulu Marionille";6061;"2013";"Scanbox Finland Oy";2013-04-19;"Song for Marion";"ENGLANTI"
"341";"Olympos on valloitettu";14462;"2013";"Nordisk Film Theatrical Distribution Oy";2013-04-19;"Olympos on valloitettu";"USA"
"342";"Scary Movie 5";37961;"2013";"Future Film";2013-04-19;"Scary Movie 5";"USA"
"343";"Oblivion";69412;"2013";"Finnkino Oy";2013-04-12;"Oblivion";"USA"
"344";"Syödä, nukkua, kuolla";1989;"2013";"Kinoscreen Illusion";2013-04-12;"Äta sova dö";"RUOTSI"
"345";"Vuoden se kestää";48656;"2013";"FS Film Oy";2013-04-12;"I Give it a Year";"ENGLANTI"
"346";"Yli vuorten";4934;"2013";"Cinema Mondo Oy";2013-04-12;"Dupa dealuri";"ROMANIA"
"347";"Kvartetti";56190;"2013";"FS Film Oy";2013-04-05;"Quartet";"ENGLANTI"
"348";"Laulu koti-ikävästä";9525;"2013";"Pirkanmaan Elokuvakeskus";2013-04-05;"Laulu koti-ikävästä";"SUOMI"
"349";"Mama";41712;"2013";"Finnkino Oy";2013-04-05;"Mama";"KANADA"
"350";"Warm Bodies";28951;"2013";"Nordisk Film Theatrical Distribution Oy";2013-04-05;"Warm Bodies";"USA"
"351";"Croodit";107984;"2013";"FS Film Oy";2013-03-29;"The Croods";"USA"
"352";"G.I. Joe: Kosto";27925;"2013";"Finnkino Oy";2013-03-29;"G.I. Joe: Retaliation";"USA"
"353";"The Place Beyond the Pines";17419;"2013";"Scanbox Finland Oy";2013-03-29;"The Place Beyond the Pines";"USA"
"354";"Vieras";20872;"2013";"Future Film";2013-03-29;"The Host";"USA"
"355";"Jack the Giant Slayer";8641;"2013";"FS Film Oy";2013-03-22;"Jack the Giant Slayer";"USA"
"356";"Jahti";20709;"2013";"Atlantic Film Oy";2013-03-22;"Jagten";"TANSKA"
"357";"Soundbreaker";393;"2013";"Pirkanmaan Elokuvakeskus";2013-03-22;"Soundbreaker";"SUOMI"
"358";"Hilton!";5981;"2013";"Nordisk Film Theatrical Distribution Oy";2013-03-15;"Hilton!";"SUOMI"
"359";"In The Darkroom: Pimennossa";341;"2013";"Pirkanmaan Elokuvakeskus";2013-03-15;"In The Darkroom";"SAKSAN LTV-SUOMI"
"360";"Mahtava Oz";55103;"2013";"The Walt Disney Company Nordic";2013-03-15;"OZ - Great and Powerful";"USA"
"361";"Vieras talossa";4352;"2013";"Cinema Mondo Oy";2013-03-15;"Dans la maison";"RANSKA"
"362";"Kerron sinulle kaiken";9788;"2013";"Future Film";2013-03-08;"Kerron sinulle kaiken";"SUOMI"
"363";"Pitch Perfect";20887;"2013";"Finnkino Oy";2013-03-08;"Pitch Perfect";"USA"
"364";"Sammyn suuri seikkailu 2";14389;"2013";"FS Film Oy";2013-03-08;"Sammy's avonturen 2";"BELGIA"
"365";"Särkynyt";3088;"2013";"Atlantic Film Oy";2013-03-08;"Broken";"ENGLANTI"
"366";"The Last Stand";11268;"2013";"Nordisk Film Theatrical Distribution Oy";2013-03-08;"The Last Stand";"USA"
"367";"Gangsterisota";21586;"2013";"FS Film Oy";2013-03-01;"Gangster squad";"USA"
"368";"Lumoava kirous";18539;"2013";"Nordisk Film Theatrical Distribution Oy";2013-03-01;"Beautiful Creatures";"USA"
"369";"Pilvikartasto";31538;"2013";"Future Film";2013-03-01;"Cloud Atlas";"USA"
"370";"Viru - tarinoita hotellista";1647;"2013";"Pirkanmaan Elokuvakeskus";2013-03-01;"Viru - tarinoita hotellista";"SUOMI-VIRO"
"371";"The Monuments men";31619;"2013";"FS Film Oy";2013-02-28;"The Monuments men";"USA"
"372";"Les Misérables";76863;"2013";"Finnkino Oy";2013-02-22;"Les Misérables";"USA-ENGLANTI"
"373";"Parker";10302;"2013";"Scanbox Finland Oy";2013-02-22;"Parker";"USA"
"374";"Searching for Sugar Man";9755;"2013";"Cinema Mondo Oy";2013-02-22;"Searching for Sugar Man";"RUOTSI-ENGLANTI"
"375";"8-pallo";61936;"2013";"Nordisk Film Theatrical Distribution Oy";2013-02-22;"8-pallo";"SUOMI"
"376";"A Good day to die hard";109074;"2013";"FS Film Oy";2013-02-15;"A Good day to die hard";"USA"
"377";"Rakkaus";34714;"2013";"Future Film";2013-02-15;"Amour";"RANSKA"
"378";"Räyhä-Ralf";107425;"2013";"The Walt Disney Company Nordic";2013-02-15;"Wreck-it Ralph";"USA"
"379";"Hannu ja Kerttu: Noitajahti";36337;"2013";"FS Film Oy";2013-02-08;"Hansel & Gretel: Witch Hunters";"SAKSAN -USA"
"380";"Lento";13234;"2013";"Finnkino Oy";2013-02-08;"Flight";"USA"
"381";"Mestari";8198;"2013";"Future Film";2013-02-08;"The Master";"USA"
"382";"Seitsemän Psykopaattia";1280;"2013";"Nordisk Film Theatrical Distribution Oy";2013-02-08;"Seven Psychopaths";"ENGLANTI"
"383";"21 tapaa pilata avioliitto";403196;"2013";"Nordisk Film Theatrical Distribution Oy";2013-02-08;"21 tapaa pilata avioliitto";"SUOMI"
"384";"Hitchcock";7466;"2013";"FS Film Oy";2013-02-01;"Hitchcock";"USA-ENGLANTI"
"385";"Kaikella Rakkaudella";16571;"2013";"The Walt Disney Company Nordic";2013-02-01;"Kaikella Rakkaudella";"SUOMI"
"386";"Rölli ja kultainen avain";204870;"2013";"Nordisk Film Theatrical Distribution Oy";2013-02-01;"Rölli ja kultainen avain";"SUOMI"
"387";"Tavarataivas";5478;"2013";"SUOMEN Elokuvakontakti R";2013-02-01;"Tavarataivas";"SUOMI"
"388";"Unelmien pelikirja";48690;"2013";"Future Film";2013-02-01;"Silver Linings Playbook";"USA"
"389";"Lincoln";19502;"2013";"FS Film Oy";2013-01-25;"Lincoln";"USA"
"390";"Vuonna -85";165856;"2013";"The Walt Disney Company Nordic";2013-01-25;"Vuonna -85";"SUOMI"
"391";"Zero Dark Thirty";11022;"2013";"Finnkino Oy";2013-01-25;"Zero Dark Thirty";"USA"
"392";"Django Unchained";139001;"2013";"The Walt Disney Company Nordic";2013-01-18;"Django Unchained";"USA"
"393";"Häätanssi";893;"2013";"Pirkanmaan Elokuvakeskus";2013-01-18;"Häätanssi";"SUOMI"
"394";"Kaappari";44846;"2013";"Nordisk Film Theatrical Distribution Oy";2013-01-18;"Kaappari";"SUOMI"
"395";"The Paperboy";2848;"2013";"Future Film";2013-01-18;"The Paperboy";"USA"
"396";"Anna Karenina";81803;"2013";"Finnkino Oy";2013-01-11;"Anna Karenina";"ENGLANTI"
"397";"Beasts of the Southern Wild";15727;"2013";"Cinema Mondo Oy";2013-01-11;"Beasts of the Southern Wild";"USA"
"398";"Frankenweenie";6412;"2013";"The Walt Disney Company Nordic";2013-01-11;"Frankenweenie";"USA"
"399";"Jack Reacher - Tappajan jäljillä";51132;"2013";"Finnkino Oy";2013-01-04;"Jack Reacher";"USA"
"400";"Miesten välisiä keskusteluja";455;"2013";"Pirkanmaan Elokuvakeskus";2013-01-04;"Miesten välisiä keskusteluja";"SUOMI"
"401";"Selviytyminen";21975;"2013";"Nordisk Film Theatrical Distribution Oy";2013-01-04;"The Impossible";"ESPANJA"
"402";"Texas Chainsaw 3D";9583;"2013";"Scanbox Finland Oy";2013-01-04;"Texas Chainsaw 3D";"USA"
"403";"The Sessions";7485;"2013";"FS Film Oy";2013-01-04;"The Sessions";"USA"
