"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"99";"Deliver us from evil - päästä meidät pahasta";9734;"2014";"The Walt Disney Company Nordic";2014-07-25;"Deliver us from evil";"USA"
"100";"Lentsikat 2: Pelastajat";66872;"2014";"The Walt Disney Company Nordic";2014-07-25;"Planes 2";"USA"
"101";"Apinoiden planeetan vallankumous";49237;"2014";"FS Film Oy";2014-07-18;"Dawn of the Planet of the Apes";"USA"
"102";"Puhdistuksen yö: Anarkia";4993;"2014";"Finnkino Oy";2014-07-18;"The Purge: Anarchy";"USA-RANSKA"
"103";"Naapurit";49106;"2014";"Finnkino Oy";2014-07-11;"Neighbors";"USA"
"104";"Snowpiercer";17723;"2014";"Future Film";2014-07-11;"Snowpiercer";"ETELÄ-KOREA-TSEKKI-USA-RANSKA"
"105";"Tähtiin kirjoitettu virhe";95859;"2014";"FS Film Oy";2014-07-11;"The Fault in Our Stars";"USA"
"106";"Näin koulutat lohikäärmeesi 2";92598;"2014";"FS Film Oy";2014-07-04;"How to Train Your Dragon 2";"USA"
"107";"Uusia alkuja";9163;"2014";"FS Film Oy";2014-07-04;"Begin Again";"USA"
"108";"Lomapainajainen";14997;"2014";"FS Film Oy";2014-06-27;"Blended";"USA"
"109";"Transformers - Tuhon aikakausi";23937;"2014";"Finnkino Oy";2014-06-27;"Transformers: Age of Extinction";"USA-KIINA"
"110";"Transformers - Tuhon aikakausi 3D";71576;"2014";"Finnkino Oy";2014-06-27;"Transformers: Age of Extinction 3D";"USA-KIINA"
"111";"Walking on Sunshine";8264;"2014";"Nordisk Film Theatrical Distribution Oy";2014-06-27;"Walking on Sunshine";"ENGLANTI"
"112";"The Salvation";4993;"2014";"Atlantic Film Oy";2014-06-25;"The Salvation";"TANSKA-UK"
"113";"Violette";4775;"2014";"Cinema Mondo Oy";2014-06-25;"Violette";"RANSKA-BELGIA"
"114";"The Double";4524;"2014";"Kuusan Kino";2014-06-22;"The Double";"ENGLANTI"
"115";"The Rover";0;"2014";"Nordisk Film Theatrical Distribution Oy";2014-06-20;"The Rover";"AUSTRALIA-USA"
"116";"Nurse 3D";32;"2014";"Future Film";2014-06-13;"Nurse 3D";"USA"
"117";"Bamse ja rosvokaupunki";22260;"2014";"Nordisk Film Theatrical Distribution Oy";2014-06-06;"Bamse och tjuvstaden";"RUOTSI"
"118";"Linna Italiassa";4078;"2014";"Cinema Mondo Oy";2014-06-04;"Un château en Italie";"RANSKA"
"119";"Miljoona tapaa kuolla lännessä";41567;"2014";"Finnkino Oy";2014-05-30;"A Million Ways to Die in the West";"USA"
"120";"Edge of Tomorrow";55199;"2014";"FS Film Oy";2014-05-28;"Edge of Tomorrow";"USA-KANADA"
"121";"Maleficent - Pahatar";113114;"2014";"The Walt Disney Company Nordic";2014-05-28;"Maleficent";"USA-ENGLANTI"
"122";"X-Men: Days of Future Past";67334;"2014";"FS Film Oy";2014-05-23;"X-Men: Days of Future Past";"USA-ENGLANTI"
"123";"Grace of Monaco";25866;"2014";"Finnkino Oy";2014-05-16;"Grace of Monaco";"RANSKA-USA"
"124";"Locke";9228;"2014";"FS Film Oy";2014-05-16;"Locke";"ENGLANTI-USA"
"125";"Godzilla 3D";53904;"2014";"FS Film Oy";2014-05-14;"Godzilla 3D";"USA-JAPANI"
"126";"Koomikot";474;"2014";"Nordisk Film Theatrical Distribution Oy";2014-05-09;"The Clownvise";"SLOVAKIA-LUXEMBURG-TSEKKI-SUOMI"
"127";"Love & engineering - rakkauden insinöörit";554;"2014";"SUOMEN Elokuvakontakti R";2014-05-09;"Love & Engineering";"SUOMI-SAKSA"
"128";"Wetlands - kosteikkoja";882;"2014";"Future Film";2014-05-09;"Feuchtgebiete";"SAKSA"
"129";"Brick Mansions";15984;"2014";"Finnkino Oy";2014-05-02;"Brick Mansions";"RANSKA-KANADA"
"130";"Hokkus Pokkus Mikko Mallikas";13640;"2014";"Nordisk Film Theatrical Distribution Oy";2014-05-02;"Hokus pokus Albert Åberg";"NORJA"
"131";"Pompeji 3D";15345;"2014";"Nordisk Film Theatrical Distribution Oy";2014-05-02;"Pompeii 3D";"KANADA-SAKSA-USA"
"132";"Tolonen";1765;"2014";"Pirkanmaan Elokuvakeskus";2014-05-02;"Tolonen";"SUOMI"
"133";"Tuhat kertaa hyvää yötä";7654;"2014";"Atlantic Film Oy";2014-05-02;"Tusen ganger god natt";"NORJA-IRLANTI-RUOTSI"
"134";"Yves Saint Laurent";11124;"2014";"FS Film Oy";2014-05-02;"Yves Saint Laurent";"RANSKA-BELGIA"
"135";"Amazing Spider Man 2";61271;"2014";"The Walt Disney Company Nordic";2014-04-25;"Amazing Spider Man 2";"USA"
"136";"Fading Gigolo";9219;"2014";"FS Film Oy";2014-04-25;"Fading Gigolo";"USA"
"137";"Se toinen nainen";88176;"2014";"FS Film Oy";2014-04-25;"The Other Woman";"USA"
"138";"Venus in Fur";565;"2014";"Nordisk Film Theatrical Distribution Oy";2014-04-25;"La Vénus á la Fourrure";"RANSKA-PUOLA"
"139";"Huikopeli";4586;"2014";"Future Film";2014-04-18;"The Starving Games";"USA"
"140";"Suuri kauneus";24456;"2014";"Cinema Mondo Oy";2014-04-18;"La grande bellezza";"ITALIA-RANSKA"
"141";"The Raid 2: Berandal";3174;"2014";"Future Film";2014-04-18;"The Raid 2: Berandal";"INDONESIA-USA"
"142";"Transcendence";30218;"2014";"Nordisk Film Theatrical Distribution Oy";2014-04-18;"Transcendence";"UK-KIINA-USA"
"143";"Calvary";0;"2014";"FS Film Oy";2014-04-11;"Calvary";"IRLANTI-UK"
"144";"Laulu";1131;"2014";"Black Lion Independent";2014-04-11;"Laulu";"SUOMI"
"145";"Rio 2";161590;"2014";"FS Film Oy";2014-04-11;"Rio 2";"USA"
"146";"Romanssi";1350;"2014";"Vl-Media";2014-04-11;"Romanssi";"SUOMI"
"147";"The Grand Budapest Hotel";84565;"2014";"FS Film Oy";2014-04-11;"The Grand Budapest Hotel";"USA-SAKSA-UK"
"148";"Divergent - Outolintu";79651;"2014";"Nordisk Film Theatrical Distribution Oy";2014-04-09;"Divergent";"USA"
"149";"Muutoksii";15958;"2014";"Pirkanmaan Elokuvakeskus";2014-04-04;"Muutoksii";"SUOMI"
"150";"Tuuli nousee";23501;"2014";"Cinema Mondo Oy";2014-04-04;"Kaze tachinu";"JAPANI"
"151";"Näin unta elämästä";2222;"2014";"Pirkanmaan Elokuvakeskus";2014-03-28;"Näin unta elämästä";"SUOMI"
"152";"The Railway Man";4815;"2014";"Future Film";2014-03-28;"The Railway Man";"AUSTRALIA-UK-SVEITSI"
"153";"Captain America: The Return of the First Avenger";58029;"2014";"The Walt Disney Company Nordic";2014-03-26;"Captain America : Winter Soldier";"USA"
"154";"Isänsä poika";7183;"2014";"Cinema Mondo Oy";2014-03-21;"Soshite chichi ni naru";"JAPANI"
"155";"Le Week-End";9302;"2014";"FS Film Oy";2014-03-21;"Le Week-End";"UK-RANSKA"
"156";"Non-Stop";37303;"2014";"FS Film Oy";2014-03-21;"Non-Stop";"UK-RANSKA-USA"
"157";"Only Lovers Left Alive";8372;"2014";"Kuusan Kino";2014-03-21;"Only Lovers Left Alive";"SAKSA-UK-RANSKA-KREIKKA"
"158";"Need for Speed";34152;"2014";"Nordisk Film Theatrical Distribution Oy";2014-03-14;"Need for Speed";"USA-FILIPPIINIT-IRLANTI-UK"
